"alert_id","rule_id","customer_id","alert_date","alert_created","alert_status","assigned_to","metric_value"
ALT000008,R001,CUST00317,2024-12-14,2026-07-11 16:02:44.946,Converted to Case,INV005,42.6219
ALT000007,R001,CUST00317,2024-03-15,2026-07-11 16:02:44.946,Converted to Case,INV001,12.8695
ALT000001,R001,CUST00435,2024-09-15,2026-07-11 16:02:44.946,False Positive,INV002,9.9739
ALT000002,R001,CUST00431,2024-06-22,2026-07-11 16:02:44.946,False Positive,INV001,3.8972
ALT000003,R001,CUST00426,2024-11-14,2026-07-11 16:02:44.946,False Positive,INV004,5.5414
ALT000004,R001,CUST00405,2024-10-27,2026-07-11 16:02:44.946,False Positive,INV003,0.2510
ALT000005,R001,CUST00384,2024-06-11,2026-07-11 16:02:44.946,False Positive,INV001,4.2376
ALT000006,R001,CUST00376,2024-05-30,2026-07-11 16:02:44.946,False Positive,INV004,14.2264
ALT000009,R001,CUST00273,2024-06-22,2026-07-11 16:02:44.946,False Positive,INV001,23.6956
ALT000010,R001,CUST00260,2024-07-25,2026-07-11 16:02:44.946,False Positive,INV003,64.7663
ALT000011,R001,CUST00219,2024-07-23,2026-07-11 16:02:44.946,False Positive,INV004,2.8747
ALT000036,R004,CUST00458,2023-03-01,2026-07-11 16:02:44.946,Converted to Case,INV002,1.5508
ALT000031,R004,CUST00458,2024-06-01,2026-07-11 16:02:44.946,Converted to Case,INV002,1.6246
ALT000024,R004,CUST00458,2024-08-01,2026-07-11 16:02:44.946,Converted to Case,INV002,1.7723
ALT000066,R005,CUST00108,2024-03-21,2026-07-11 16:02:44.946,Converted to Case,INV001,0.8839
ALT000044,R004,CUST00108,2024-08-01,2026-07-11 16:02:44.946,Converted to Case,INV005,1.5319
ALT000057,R005,CUST00412,2024-02-23,2026-07-11 16:02:44.946,Converted to Case,INV003,0.8627
ALT000047,R004,CUST00412,2023-02-01,2026-07-11 16:02:44.946,Converted to Case,INV004,1.5299
ALT000046,R004,CUST00412,2024-07-01,2026-07-11 16:02:44.946,Converted to Case,INV003,1.5299
