"case_id","customer_id","case_created","case_status","disposition","investigator"
CASE000003,CUST00067,2026-07-12 11:57:35.940,Closed,Monitoring Continued,INV003
CASE000004,CUST00458,2026-07-12 11:57:35.940,Closed,Monitoring Continued,INV002
CASE000005,CUST00940,2026-07-12 11:57:35.940,Closed,Monitoring Continued,INV001
CASE000006,CUST00108,2026-07-12 11:57:35.940,Closed,SAR Recommended,INV001
CASE000007,CUST00412,2026-07-12 11:57:35.940,Closed,SAR Recommended,INV003
CASE000008,CUST00104,2026-07-12 11:57:35.940,Closed,Monitoring Continued,INV004
CASE000009,CUST00101,2026-07-12 11:57:35.940,Closed,Monitoring Continued,INV001
CASE000010,CUST00245,2026-07-12 11:57:35.940,Closed,Monitoring Continued,INV002
CASE000011,CUST00145,2026-07-12 11:57:35.940,Closed,Monitoring Continued,INV002
CASE000012,CUST00089,2026-07-12 11:57:35.940,Closed,Monitoring Continued,INV001
CASE000013,CUST00817,2026-07-12 11:57:35.940,Closed,SAR Recommended,INV003
CASE000014,CUST00645,2026-07-12 11:57:35.940,Closed,Monitoring Continued,INV003
CASE000015,CUST00223,2026-07-12 11:57:35.940,Closed,Monitoring Continued,INV003
CASE000016,CUST00356,2026-07-12 11:57:35.940,Closed,Monitoring Continued,INV004
CASE000017,CUST00965,2026-07-12 11:57:35.940,Closed,SAR Recommended,INV001
CASE000018,CUST00317,2026-07-12 11:57:35.940,Closed,Monitoring Continued,INV001
CASE000019,CUST00008,2026-07-12 11:57:35.940,Closed,Monitoring Continued,INV002
CASE000020,CUST00930,2026-07-12 11:57:35.940,Closed,Monitoring Continued,INV001
CASE000021,CUST00460,2026-07-12 11:57:35.940,Closed,SAR Recommended,INV002
CASE000022,CUST00103,2026-07-12 11:57:35.940,Closed,Monitoring Continued,INV003
CASE000023,CUST00105,2026-07-12 11:57:35.940,Closed,SAR Recommended,INV001
CASE000024,CUST00110,2026-07-12 11:57:35.940,Closed,Monitoring Continued,INV001
CASE000025,CUST00023,2026-07-12 11:57:35.940,Closed,SAR Recommended,INV002
CASE000026,CUST00985,2026-07-12 11:57:35.940,Closed,SAR Recommended,INV003
CASE000027,CUST00107,2026-07-12 11:57:35.940,Closed,Monitoring Continued,INV003
CASE000028,CUST00887,2026-07-12 11:57:35.940,Closed,SAR Recommended,INV001
CASE000029,CUST00849,2026-07-12 11:57:35.940,Closed,SAR Recommended,INV003
CASE000030,CUST00969,2026-07-12 11:57:35.940,Closed,Monitoring Continued,INV002
